policy_id,customer_id,policy_type,premium_amount,start_date,end_date,agent_id
50,5232,Vehicle,16114.194491922372,2021-05-02,2022-05-02,43
51,14170,Vehicle,28386.651974516903,2023-03-26,2024-03-25,28
52,1170,Health,15688.79241343433,2024-03-17,2025-03-17,359
53,1644,Vehicle,12571.832050612946,2021-03-11,2022-03-11,463
54,73,Health,15078.599778672604,2025-03-19,2026-03-19,102
55,15964,Health,11938.429509003568,2020-08-15,2021-08-15,255
56,3031,Health,18020.52626136454,2020-04-14,2021-04-14,80
57,5319,Health,16575.668175415052,2023-09-06,2024-09-05,195
58,15792,Property,13280.022924194602,2022-10-11,2023-10-11,133
59,1050,Health,15343.842957117851,2021-04-17,2022-04-17,348
60,10709,Health,9963.253344474668,2023-10-10,2024-10-09,389
61,12384,Property,6621.257688676316,2025-11-10,2026-11-10,292
62,11549,Health,20616.51299933348,2020-10-22,2021-10-22,178
63,16995,Vehicle,16054.927344007165,2025-05-21,2026-05-21,165
64,11064,Vehicle,19705.795565394445,2023-08-11,2024-08-10,469
65,8943,Health,12073.49600919505,2021-03-28,2022-03-28,33
66,13566,Property,10589.786686144687,2023-11-27,2024-11-26,261
67,16331,Vehicle,17160.19546577747,2020-01-21,2021-01-20,468
68,13410,Vehicle,26359.644547972952,2020-06-25,2021-06-25,249
69,15597,Vehicle,15101.511525948448,2025-05-09,2026-05-09,249
70,6318,Vehicle,24400.869969817453,2022-10-15,2023-10-15,372
71,653,Health,9047.595234369444,2025-08-05,2026-08-05,317
72,20289,Vehicle,25371.898866956584,2025-12-16,2026-12-16,214
73,18132,Vehicle,14847.770855706618,2022-07-01,2023-07-01,74
74,17695,Property,15935.652751468277,2020-05-17,2021-05-17,476
75,1962,Vehicle,19206.812156951084,2020-05-04,2021-05-04,188
76,4982,Vehicle,20716.126692276343,2022-09-09,2023-09-09,322
77,4955,Health,14129.909253014644,2020-01-25,2021-01-24,461
78,18907,Property,11068.451514718425,2023-01-26,2024-01-26,219
79,14170,Vehicle,24309.026764302456,2024-10-14,2025-10-14,110
80,6799,Property,10626.05551964953,2024-03-05,2025-03-05,184
81,22555,Vehicle,16672.619127837846,2021-01-26,2022-01-26,441
82,20522,Health,16206.519662867444,2020-10-13,2021-10-13,102
83,832,Health,17230.514046714165,2022-01-10,2023-01-10,76
84,19111,Vehicle,20156.45635389625,2023-03-29,2024-03-28,422
85,18296,Health,16458.845395653072,2021-08-22,2022-08-22,264
86,8833,Health,13662.132885063807,2022-09-27,2023-09-27,327
87,3017,Health,10756.370752589732,2021-08-11,2022-08-11,396
88,2636,Vehicle,18253.575676102508,2021-02-27,2022-02-27,464
89,12809,Health,11097.150415093003,2024-04-15,2025-04-15,417
90,14020,Vehicle,21155.966675878844,2020-04-21,2021-04-21,137
91,6961,Vehicle,18553.329325645725,2023-02-14,2024-02-14,291
92,8704,Vehicle,12714.152935411734,2022-07-19,2023-07-19,349
93,21649,Property,7336.045198025547,2021-04-18,2022-04-18,64
94,16883,Health,15767.440321160591,2022-11-27,2023-11-27,333
95,10146,Health,16168.556021952594,2025-07-31,2026-07-31,57
96,170,Health,19836.57627902388,2021-01-03,2022-01-03,50
97,14240,Health,14270.99662012335,2022-05-20,2023-05-20,385
98,7079,Property,11128.673671963286,2021-04-26,2022-04-26,66
99,9964,Vehicle,24756.47640871343,2024-06-24,2025-06-24,389
100,18793,Vehicle,21353.743200608493,2023-05-20,2024-05-19,361
101,3499,Vehicle,20851.727396900995,2020-02-24,2021-02-23,269
102,7405,Property,15131.61152696202,2025-03-26,2026-03-26,328
103,21954,Vehicle,21464.199892223143,2021-09-05,2022-09-05,305
104,11,Health,9976.706159536978,2025-07-16,2026-07-16,78
105,17416,Vehicle,12862.92294292534,2022-10-28,2023-10-28,61
106,7203,Property,16412.744302940482,2024-04-17,2025-04-17,355
107,10981,Property,9859.707900806494,2024-08-17,2025-08-17,281
108,23901,Vehicle,18690.54730773581,2024-05-15,2025-05-15,454
109,6033,Property,14838.104665594568,2022-04-01,2023-04-01,337
110,14742,Health,19887.87839997068,2023-01-12,2024-01-12,414
111,11522,Vehicle,27711.91831433687,2025-10-13,2026-10-13,308
112,17914,Health,14305.571480912566,2024-01-01,2024-12-31,249
113,17624,Health,16111.229832914143,2020-07-25,2021-07-25,387
114,13030,Vehicle,16322.391147634848,2020-02-04,2021-02-03,146
115,7514,Vehicle,17516.514922869086,2022-04-15,2023-04-15,317
116,22417,Property,9539.919303781508,2022-09-07,2023-09-07,429
117,3523,Vehicle,20640.66470105558,2025-10-20,2026-10-20,396
118,20374,Property,11724.738902070954,2023-01-05,2024-01-05,217
119,12087,Health,13400.084026795152,2021-02-09,2022-02-09,136
120,21174,Vehicle,7842.900015738292,2023-10-13,2024-10-12,320
121,10154,Property,6811.357376021628,2024-12-17,2025-12-17,276
122,1868,Vehicle,17097.549689407188,2021-06-06,2022-06-06,255
123,17681,Vehicle,19804.916779286217,2022-03-03,2023-03-03,188
124,545,Vehicle,23946.49941248036,2021-12-03,2022-12-03,145
125,15783,Vehicle,22886.866890367703,2020-12-14,2021-12-14,495
126,17387,Property,15180.76226932694,2021-03-17,2022-03-17,382
127,16496,Health,9538.320285995243,2020-12-22,2021-12-22,484
128,2417,Vehicle,17897.812478212774,2020-05-04,2021-05-04,41
129,22681,Vehicle,16738.434735760595,2024-01-14,2025-01-13,416
130,1888,Property,9812.480735823545,2024-09-29,2025-09-29,416
131,23392,Property,13368.02911803611,2024-10-14,2025-10-14,205
132,2478,Property,11316.857738502318,2020-02-29,2021-02-28,485
133,4960,Vehicle,22011.808722522183,2020-04-05,2021-04-05,332
134,24710,Health,14294.083955410655,2024-05-02,2025-05-02,320
135,23586,Vehicle,29426.353045829885,2021-09-19,2022-09-19,462
136,6796,Vehicle,13278.044724696156,2021-12-27,2022-12-27,160
137,9846,Property,13240.71167242873,2022-02-12,2023-02-12,217
138,2038,Vehicle,16864.751770142386,2025-12-27,2026-12-27,38
139,24114,Property,9078.867302125038,2021-01-03,2022-01-03,266
140,742,Vehicle,24408.36282076624,2024-10-16,2025-10-16,197
141,20078,Vehicle,12340.687507338424,2023-04-20,2024-04-19,455
142,19239,Vehicle,19909.36232360542,2022-07-12,2023-07-12,230
143,7227,Health,10712.848428828444,2022-09-30,2023-09-30,258
144,6905,Health,18184.65517141172,2025-07-26,2026-07-26,211
145,14089,Property,13565.402742668864,2024-12-16,2025-12-16,368
146,5069,Vehicle,20784.894277040108,2021-04-03,2022-04-03,155
147,9704,Property,12710.038863927051,2025-06-11,2026-06-11,22
148,16845,Vehicle,11770.215280213042,2025-11-01,2026-11-01,242
149,11621,Vehicle,20416.970281187023,2021-07-19,2022-07-19,326
150,110,Vehicle,14742.787458948862,2021-02-10,2022-02-10,362
151,22419,Health,10032.311590759253,2020-05-29,2021-05-29,277
152,21345,Vehicle,17208.190073435264,2024-05-02,2025-05-02,265
153,8177,Health,16267.37009486738,2020-04-21,2021-04-21,26
154,12106,Vehicle,12561.005363800008,2022-02-28,2023-02-28,10
155,12110,Health,19376.62145877444,2023-01-10,2024-01-10,413
156,5835,Health,8681.158356292519,2024-10-16,2025-10-16,215
157,21429,Property,6606.112819661317,2020-08-04,2021-08-04,63
158,10551,Vehicle,19410.822536153213,2022-05-10,2023-05-10,1
159,22639,Vehicle,19298.426434587866,2025-11-16,2026-11-16,178
160,24873,Vehicle,14356.36996649323,2021-08-17,2022-08-17,493
161,5927,Property,10463.65696267454,2025-12-23,2026-12-23,4
162,6247,Health,19119.331563929067,2025-06-17,2026-06-17,289
163,15819,Health,16630.88699308016,2020-08-21,2021-08-21,37
164,9755,Property,9935.825083880403,2020-07-21,2021-07-21,72
165,14889,Property,13174.914580081511,2024-09-12,2025-09-12,120
166,20925,Property,13333.680741937442,2023-11-12,2024-11-11,492
167,14273,Health,12761.165063091326,2020-11-26,2021-11-26,313
168,11836,Health,18438.2581769563,2020-05-12,2021-05-12,106
169,1614,Vehicle,17308.941005718563,2025-04-11,2026-04-11,237
170,15333,Property,6631.662108758097,2023-05-02,2024-05-01,402
171,1458,Property,11952.78534885506,2022-05-12,2023-05-12,31
172,14906,Health,11725.545236941212,2021-09-08,2022-09-08,44
173,2954,Vehicle,17567.542774816302,2020-11-03,2021-11-03,498
174,18291,Vehicle,19324.835235687588,2021-09-19,2022-09-19,465
175,13835,Property,9398.292289027058,2023-04-30,2024-04-29,141
176,16498,Property,7023.304092619096,2022-02-18,2023-02-18,203
177,6863,Vehicle,29757.23303040446,2025-05-13,2026-05-13,475
178,6948,Property,12873.33883463177,2020-10-12,2021-10-12,144
179,6337,Vehicle,14049.11947545443,2022-05-06,2023-05-06,224
180,22218,Vehicle,27655.334786954198,2022-06-18,2023-06-18,439
181,17274,Vehicle,15184.191815697768,2024-09-27,2025-09-27,8
182,12190,Property,11527.671490192042,2023-10-13,2024-10-12,193
183,1752,Vehicle,14971.484336408575,2023-04-18,2024-04-17,47
184,7777,Vehicle,18442.06702801228,2021-11-17,2022-11-17,98
185,17658,Health,17666.863428105535,2022-06-17,2023-06-17,391
186,1033,Vehicle,18574.469043007837,2022-10-07,2023-10-07,344
187,14333,Property,12359.258112542468,2020-07-14,2021-07-14,364
188,15023,Vehicle,22765.2385828112,2023-10-28,2024-10-27,89
189,18922,Vehicle,17585.480505580905,2025-04-25,2026-04-25,412
190,23256,Vehicle,24865.60753141887,2025-01-23,2026-01-23,253
191,23882,Vehicle,20298.93163874053,2024-02-09,2025-02-08,78
192,3034,Vehicle,20959.78662222052,2020-02-27,2021-02-26,475
193,9156,Property,9230.832110255227,2024-11-13,2025-11-13,169
194,15451,Property,9997.88178160023,2024-03-26,2025-03-26,34
195,8399,Health,14981.639071917149,2022-07-03,2023-07-03,462
196,15289,Vehicle,21227.826357448437,2021-12-05,2022-12-05,422
197,10700,Property,10942.698441398552,2025-10-25,2026-10-25,71
198,24863,Vehicle,24174.210543050023,2024-07-01,2025-07-01,109
199,1137,Health,17759.0089417914,2025-09-02,2026-09-02,79
200,17834,Health,19121.574225226104,2021-01-07,2022-01-07,61
201,7948,Property,5000.0,2020-07-12,2021-07-12,361
202,22755,Property,13592.832320837451,2022-07-16,2023-07-16,37
203,8970,Property,13293.8731429469,2023-08-17,2024-08-16,99
204,11701,Health,12170.124181376668,2021-10-03,2022-10-03,495
205,23316,Vehicle,25355.60544781297,2020-02-26,2021-02-25,400
206,881,Property,11585.297289535947,2021-06-03,2022-06-03,233
207,15931,Vehicle,13792.355947891749,2022-04-15,2023-04-15,471
208,17815,Health,9482.10340327902,2023-05-29,2024-05-28,141
209,21720,Property,11040.67783122055,2022-08-23,2023-08-23,106
210,7815,Property,5096.389037798481,2023-08-19,2024-08-18,221
211,195,Health,15820.863739248436,2024-03-27,2025-03-27,404
212,24602,Vehicle,23015.701077904985,2021-07-29,2022-07-29,84
213,21314,Health,11415.891519648774,2020-06-14,2021-06-14,158
214,7607,Health,17614.484610993568,2024-11-01,2025-11-01,437
215,19510,Health,23895.2261567396,2025-06-02,2026-06-02,26
216,17759,Health,17044.06370870129,2023-09-26,2024-09-25,182
217,6022,Vehicle,18361.44986835305,2025-01-24,2026-01-24,151
218,9184,Vehicle,17341.41590941991,2023-06-22,2024-06-21,33
219,11079,Vehicle,20005.920132165476,2023-05-27,2024-05-26,54
220,10784,Health,13609.372507522612,2024-02-14,2025-02-13,293
221,12569,Vehicle,21580.30680713658,2025-11-14,2026-11-14,487
222,19573,Health,22448.947174800127,2024-03-31,2025-03-31,454
223,8946,Vehicle,16608.657259542713,2025-01-27,2026-01-27,43
224,15744,Vehicle,17846.070846898267,2020-03-31,2021-03-31,111
225,17270,Health,20765.40002893131,2022-10-28,2023-10-28,431
226,23355,Vehicle,27203.223295513788,2020-06-13,2021-06-13,236
227,5055,Property,11543.50142483624,2025-04-12,2026-04-12,393
228,18023,Property,10816.283887497832,2023-04-16,2024-04-15,283
229,14501,Property,10222.626425101036,2023-10-13,2024-10-12,243
230,13780,Property,8873.879424856668,2022-04-02,2023-04-02,286
231,8660,Health,12774.745552162703,2023-10-18,2024-10-17,30
232,6960,Vehicle,19005.54588854714,2024-11-12,2025-11-12,245
233,20110,Vehicle,16608.528985706544,2025-06-07,2026-06-07,16
234,22837,Property,14726.418689171836,2025-11-22,2026-11-22,347
235,24006,Vehicle,25408.978377552317,2023-06-24,2024-06-23,290
236,9607,Health,16755.767058519108,2025-12-07,2026-12-07,140
237,13066,Vehicle,15906.203694312504,2022-01-28,2023-01-28,226
238,9946,Health,9265.044129063826,2023-09-07,2024-09-06,292
239,15177,Property,11634.1609310485,2021-08-24,2022-08-24,382
240,16388,Vehicle,17830.899440233257,2020-10-08,2021-10-08,322
241,16919,Vehicle,22573.16730627178,2023-12-24,2024-12-23,219
242,20313,Vehicle,23424.6307583514,2024-06-14,2025-06-14,207
243,24417,Vehicle,23376.373467619665,2020-01-28,2021-01-27,53
244,21195,Health,13106.52664517946,2020-02-12,2021-02-11,104
245,17502,Health,10643.8105218398,2022-07-25,2023-07-25,400
246,7541,Vehicle,18364.422193909,2023-08-13,2024-08-12,52
247,7747,Vehicle,22640.235117988224,2024-11-29,2025-11-29,238
248,6883,Vehicle,27863.482797745397,2025-01-10,2026-01-10,343
249,22899,Health,14085.56972932467,2025-01-30,2026-01-30,483
250,2694,Vehicle,24230.416527511483,2024-10-15,2025-10-15,377
251,13478,Vehicle,23556.994332172024,2020-12-27,2021-12-27,339
252,3348,Health,10446.567563010598,2024-04-12,2025-04-12,199
253,10985,Vehicle,20598.862568459863,2023-10-25,2024-10-24,207
254,7545,Health,10387.953848699137,2023-06-30,2024-06-29,264
255,2701,Vehicle,21893.422167058063,2024-05-07,2025-05-07,114
256,9083,Health,16113.35824897916,2022-09-25,2023-09-25,265
257,19677,Vehicle,19690.14606191437,2024-09-18,2025-09-18,231
258,12133,Health,11116.369558160692,2023-11-05,2024-11-04,439
259,22046,Vehicle,11177.103153702024,2020-05-22,2021-05-22,322
260,23975,Vehicle,29419.208495342467,2022-02-19,2023-02-19,76
261,24597,Health,22287.871746525954,2022-05-22,2023-05-22,205
262,13117,Vehicle,19252.90494077672,2020-01-22,2021-01-21,156
263,10196,Vehicle,20328.65046955588,2024-05-05,2025-05-05,244
264,23897,Vehicle,22119.055739353986,2024-05-14,2025-05-14,213
265,2850,Vehicle,20397.597834558743,2023-04-21,2024-04-20,82
266,23976,Vehicle,19893.49393233128,2023-07-20,2024-07-19,312
267,23812,Health,13014.621770963078,2020-03-19,2021-03-19,441
268,653,Health,19294.28704467603,2020-06-23,2021-06-23,488
269,4158,Health,19978.31393079949,2021-04-04,2022-04-04,139
270,3186,Vehicle,19283.217551954596,2021-10-21,2022-10-21,425
271,12995,Vehicle,15622.080254724122,2022-05-09,2023-05-09,120
272,22667,Health,19300.353851235945,2020-06-03,2021-06-03,116
273,19109,Vehicle,19948.647153072307,2020-10-24,2021-10-24,116
274,9279,Health,15343.41718048056,2024-09-09,2025-09-09,275
275,1136,Property,11309.81056264896,2024-03-08,2025-03-08,370
276,4244,Vehicle,20031.35745838632,2020-11-21,2021-11-21,124
277,11325,Vehicle,17712.93980138764,2023-06-12,2024-06-11,380
278,11832,Property,8203.69875631987,2021-10-14,2022-10-14,48
279,24014,Property,5691.0444494868825,2021-05-01,2022-05-01,76
280,4778,Health,5000.0,2024-08-08,2025-08-08,49
281,3863,Vehicle,21584.67234608703,2020-02-11,2021-02-10,467
282,23100,Vehicle,27161.28399628487,2025-01-16,2026-01-16,277
283,6078,Property,12497.74085413576,2025-12-03,2026-12-03,21
284,21766,Property,8943.969979961648,2024-04-06,2025-04-06,334
285,9352,Property,8918.772338892788,2020-03-22,2021-03-22,388
286,2359,Property,8326.910860027041,2022-10-13,2023-10-13,70
287,2936,Property,15105.78894512757,2021-08-28,2022-08-28,362
288,7702,Vehicle,20814.924787538683,2024-03-18,2025-03-18,319
289,150,Vehicle,21329.976151350107,2021-08-19,2022-08-19,96
290,1434,Property,13825.367980485747,2024-06-10,2025-06-10,69
291,13376,Vehicle,22640.98752104204,2024-09-16,2025-09-16,266
292,21006,Vehicle,21835.804270486253,2023-08-27,2024-08-26,81
293,4242,Vehicle,22387.970024711307,2022-03-10,2023-03-10,31
294,20104,Vehicle,21617.68579319251,2022-06-02,2023-06-02,32
295,1334,Property,11359.960619414427,2023-12-25,2024-12-24,338
296,14194,Property,7506.296119865759,2022-06-21,2023-06-21,417
297,13195,Property,5000.0,2023-03-21,2024-03-20,15
298,4770,Health,16510.346123442345,2025-08-11,2026-08-11,158
299,15570,Vehicle,13311.004871418549,2025-09-29,2026-09-29,415
300,23829,Vehicle,27137.98079686137,2023-09-05,2024-09-04,328
301,13011,Vehicle,14883.925379913282,2021-08-18,2022-08-18,446
302,8610,Health,18407.6927246596,2020-06-10,2021-06-10,339
303,5582,Vehicle,20754.675017606027,2023-01-08,2024-01-08,454
304,21210,Health,12493.21928398047,2022-09-01,2023-09-01,118
305,14172,Vehicle,26189.40270642725,2020-12-10,2021-12-10,399
306,6328,Health,17137.754603685353,2025-09-15,2026-09-15,334
307,24178,Health,8880.605862405844,2020-02-03,2021-02-02,267
308,10134,Vehicle,16402.40396020992,2021-11-30,2022-11-30,129
309,288,Health,16885.584300520415,2020-02-26,2021-02-25,229
310,10361,Health,11310.33955148316,2024-10-12,2025-10-12,490
311,5197,Vehicle,24158.704175045827,2025-11-13,2026-11-13,390
312,14746,Vehicle,9016.447406724355,2025-07-16,2026-07-16,114
313,19107,Health,15769.06732663535,2021-01-31,2022-01-31,182
314,20147,Vehicle,19890.686722081005,2024-11-05,2025-11-05,357
315,18039,Property,6810.597644396492,2025-08-23,2026-08-23,173
316,23118,Vehicle,23236.31513683444,2020-03-26,2021-03-26,234
317,22484,Vehicle,14333.361421601312,2020-02-17,2021-02-16,444
318,20874,Property,13626.541634263232,2024-03-06,2025-03-06,93
319,13783,Health,5857.964685561286,2023-08-22,2024-08-21,149
320,21257,Health,23494.91266846413,2023-04-12,2024-04-11,498
321,5114,Health,19674.19174701298,2025-03-31,2026-03-31,369
322,4747,Vehicle,18017.401808874016,2022-10-02,2023-10-02,197
323,11776,Health,10142.941517903117,2020-01-10,2021-01-09,128
324,19128,Vehicle,17323.10673704124,2022-08-15,2023-08-15,177
325,6903,Vehicle,12850.014401805696,2022-02-09,2023-02-09,487
326,21200,Vehicle,23480.19084244205,2021-09-21,2022-09-21,130
327,6507,Vehicle,10514.244460048536,2024-01-27,2025-01-26,110
328,7284,Vehicle,16609.677619562153,2021-09-14,2022-09-14,430
329,13653,Vehicle,19025.3939430311,2020-07-09,2021-07-09,477
330,7500,Vehicle,20409.19541585988,2022-11-25,2023-11-25,37
331,6085,Vehicle,20989.864233228127,2024-02-27,2025-02-26,23
332,6970,Health,12218.17628455374,2022-06-12,2023-06-12,437
333,6058,Vehicle,34828.0769785901,2020-10-12,2021-10-12,328
334,2562,Vehicle,14727.586226172489,2025-04-05,2026-04-05,200
335,20240,Vehicle,21319.0173776368,2020-03-29,2021-03-29,218
336,14705,Vehicle,15652.367963473,2023-01-02,2024-01-02,376
337,4178,Property,7507.406611235773,2024-10-30,2025-10-30,355
338,16991,Health,20621.10701085806,2021-09-24,2022-09-24,263
339,12932,Health,15871.745773638766,2021-12-11,2022-12-11,491
340,7117,Vehicle,24707.68166065813,2021-01-19,2022-01-19,343
341,9368,Property,8990.261311813136,2024-05-31,2025-05-31,13
342,20874,Vehicle,17609.75381501691,2020-09-03,2021-09-03,301
343,5880,Vehicle,10872.885487735984,2022-08-14,2023-08-14,291
344,23820,Vehicle,20570.145630254014,2024-08-31,2025-08-31,248
345,20946,Vehicle,24674.066717318587,2022-03-22,2023-03-22,155
346,19575,Vehicle,20763.485711595786,2025-05-15,2026-05-15,51
347,4918,Health,17258.381605089286,2021-06-29,2022-06-29,463
348,8112,Vehicle,19185.7318009354,2022-10-31,2023-10-31,109
349,20830,Vehicle,18533.376258607877,2024-12-06,2025-12-06,43
350,7855,Vehicle,21323.196675866515,2021-12-26,2022-12-26,363
351,5465,Vehicle,21449.89494182566,2025-12-20,2026-12-20,343
352,2177,Property,9625.767871470998,2020-01-18,2021-01-17,422
353,19142,Vehicle,20260.447838530123,2022-01-23,2023-01-23,466
354,6319,Health,11900.948784599404,2025-06-09,2026-06-09,193
355,14013,Health,15361.689075972734,2021-03-30,2022-03-30,278
356,22629,Property,11008.018615716835,2020-02-24,2021-02-23,421
357,20397,Health,20661.64062203488,2023-02-09,2024-02-09,454
358,24399,Vehicle,20400.60787123807,2025-11-19,2026-11-19,40
359,10510,Health,13381.071520198908,2021-02-06,2022-02-06,109
360,19241,Vehicle,22293.115855548807,2022-09-16,2023-09-16,391
361,873,Vehicle,23858.200258639896,2025-08-09,2026-08-09,129
362,24366,Health,10870.521636056425,2024-08-19,2025-08-19,95
363,24318,Property,11740.043343642696,2023-06-12,2024-06-11,242
364,24799,Health,17320.32856247655,2022-05-28,2023-05-28,318
365,14073,Property,14669.277346161274,2020-10-20,2021-10-20,124
366,17612,Property,9879.673475934653,2020-04-25,2021-04-25,432
367,14073,Property,7558.775410146176,2022-05-10,2023-05-10,243
368,4737,Health,14215.70198556569,2024-03-03,2025-03-03,165
369,14935,Vehicle,14557.58912467445,2023-12-29,2024-12-28,328
370,4667,Vehicle,20376.34688299206,2022-02-16,2023-02-16,426
371,17619,Health,11303.451399311478,2024-02-14,2025-02-13,104
372,2809,Vehicle,19316.86447035581,2024-11-19,2025-11-19,78
373,19718,Property,7381.379377639335,2020-10-26,2021-10-26,92
374,18690,Vehicle,14130.251879399832,2020-04-14,2021-04-14,16
375,18807,Health,9319.992115188044,2025-03-06,2026-03-06,79
376,17581,Vehicle,17181.19100842634,2023-03-03,2024-03-02,336
377,882,Property,13853.916632368211,2021-10-16,2022-10-16,39
378,11228,Vehicle,25083.42900574595,2021-12-16,2022-12-16,19
379,24854,Vehicle,19916.182921604384,2024-04-27,2025-04-27,351
380,4260,Health,15159.930879044505,2020-10-31,2021-10-31,312
381,15249,Vehicle,21360.459014398115,2023-07-07,2024-07-06,151
382,13923,Health,11405.210045985905,2024-07-01,2025-07-01,243
383,21423,Vehicle,35422.32462753275,2020-04-05,2021-04-05,428
384,21003,Property,8857.303322664397,2024-01-02,2025-01-01,92
385,16534,Health,17400.176444461693,2020-04-17,2021-04-17,351
386,2421,Vehicle,19672.11921684182,2020-10-28,2021-10-28,183
387,18441,Vehicle,16852.754739891694,2024-09-05,2025-09-05,399
388,1909,Health,12773.64845161433,2020-10-01,2021-10-01,190
389,7170,Vehicle,24918.0275797622,2022-07-14,2023-07-14,462
390,4087,Property,11147.707625677544,2023-06-24,2024-06-23,89
391,8774,Health,14923.857664870082,2022-05-04,2023-05-04,90
392,9061,Health,20513.63408909948,2025-10-25,2026-10-25,169
393,24300,Vehicle,23690.44248555973,2023-05-12,2024-05-11,376
394,429,Vehicle,25185.151953192253,2025-06-07,2026-06-07,374
395,17995,Vehicle,13750.40947590907,2021-02-14,2022-02-14,223
396,14012,Vehicle,25988.86097070607,2022-09-26,2023-09-26,168
397,8406,Health,21636.76209918721,2022-12-20,2023-12-20,442
398,16005,Vehicle,12728.274466240442,2020-01-19,2021-01-18,408
399,17433,Health,13075.21394286142,2023-07-30,2024-07-29,9
400,13129,Health,15328.31730842029,2022-12-15,2023-12-15,80
401,21827,Health,16100.738414153564,2022-09-09,2023-09-09,174
402,9335,Vehicle,26501.72731598319,2022-11-09,2023-11-09,121
403,17464,Health,15340.12202559687,2020-04-28,2021-04-28,231
404,9873,Property,12244.09399795991,2021-03-03,2022-03-03,453
405,1807,Vehicle,16343.342614117537,2021-01-10,2022-01-10,68
406,7363,Vehicle,21639.185890764144,2025-09-19,2026-09-19,63
407,13085,Health,12053.708446573666,2021-07-20,2022-07-20,334
408,15936,Vehicle,17449.515818771564,2022-05-28,2023-05-28,102
409,8605,Health,19036.664619515326,2023-04-09,2024-04-08,199
410,24351,Vehicle,19556.16044888249,2021-05-14,2022-05-14,158
411,17747,Vehicle,19431.26895904258,2022-10-05,2023-10-05,232
412,8872,Vehicle,20690.03489103973,2025-07-29,2026-07-29,492
413,21439,Health,14868.69157989948,2024-11-13,2025-11-13,178
414,2213,Vehicle,18698.59718183695,2024-04-18,2025-04-18,245
415,11590,Property,13117.505690627888,2023-04-14,2024-04-13,320
416,3530,Vehicle,21038.913700208184,2021-11-12,2022-11-12,356
